days,pop_chronic,pop_chronic_flow,pop_2nd,pop_2nd_flow,pop_3rd,pop_3rd_flow,pop,pop_flow,pop9_flow,pop9,pop8_flow,pop8,pop7_flow,pop7,pop6_flow,pop6,pop5_flow,pop5,pop4_flow,pop4,pop3_flow,pop3,pop2_flow,pop2,pop1_flow,pop1
105.6816817,0.2,0.976796224,0.009380868,0.087001641,0.001,0.004883981,9.48E-07,-2.67E-05,4.88E-03,0.001,0.004883981,0.001,0.004883981,0.001,1.956719763,1.72E+01,3.19E+01,3.17E+00,8.58E-01,0.088621149,0.029500023,0.003254052,0.001386183,0.000159139,4.04E-05,0.0000104
105.8478478,0.2,0.978576656,0.009080495,0.084308555,0.001,0.004892883,9.26E-07,-2.58E-05,4.89E-03,0.001,0.004892883,0.001,0.004892883,0.001,2.575941192,2.07E+01,3.08E+01,3.05E+00,8.3E-01,0.085619423,0.02862282,0.003152843,0.001351938,0.000154632,3.81E-05,0.0000101
106.014014,0.2,0.980355282,0.00878999,0.081705915,0.001,0.004901776,9.05E-07,-2.47E-05,4.9E-03,0.001,0.004901777,0.001,0.004901777,0.001,3.384290619,2.43E+01,2.97E+01,2.94E+00,8.03E-01,0.082721704,0.027772892,0.00305487,0.0013179,0.000150256,3.6E-05,0.00000983
106.1801802,0.2,0.982132084,0.008509024,0.079192358,0.001,0.00491066,8.85E-07,-2.36E-05,4.91E-03,0.001,0.004910661,0.001,0.004910661,0.001,4.434889326,2.8E+01,2.87E+01,2.84E+00,7.77E-01,0.079924312,0.026949381,0.002960029,0.001284886,0.000146009,3.41E-05,0.00000958
106.3463463,0.2,0.983907045,0.008237278,0.076766755,0.001,0.004919535,8.65E-07,-2.25E-05,4.92E-03,0.001,0.004919535,0.001,0.004919535,0.001,5.794322085,3.17E+01,2.77E+01,2.73E+00,7.51E-01,0.077223703,0.026151476,0.002868214,0.001254342,0.000141885,3.24E-05,0.00000934
106.5125125,0.2,0.985680151,0.007974442,0.074410065,0.001,0.004928401,8.45E-07,-2.13E-05,4.93E-03,0.001,0.004928401,0.001,0.004928401,0.001,7.537396677,3.51E+01,2.68E+01,2.64E+00,7.27E-01,0.074616455,0.025378407,0.002779326,0.001224341,0.000137882,3.09E-05,0.0000091
106.6786787,0.2,0.987451383,0.007720216,0.072117515,0.001,0.004937257,8.26E-07,-2.01E-05,4.94E-03,0.001,0.004937257,0.001,0.004937257,0.001,9.756193701,3.82E+01,2.59E+01,2.54E+00,7.03E-01,0.072099275,0.024629457,0.002693271,0.001194849,0.000133996,2.96E-05,0.00000887
106.8448448,0.2,0.989220725,0.00747431,0.069898049,0.001,0.004946104,8.07E-07,-1.87E-05,4.95E-03,0.001,0.004946104,0.001,0.004946104,0.001,12.55094889,4.08E+01,2.5E+01,2.45E+00,6.8E-01,0.069668983,0.023903953,0.002609955,0.001165833,0.000130223,2.86E-05,0.00000865
107.011011,0.2,0.990988164,0.007236444,0.067749605,0.001,0.004954941,7.89E-07,-1.74E-05,4.95E-03,0.001,0.004954941,0.001,0.004954941,0.001,16.02926013,4.3E+01,2.41E+01,2.36E+00,6.58E-01,0.067322519,0.023201267,0.002529287,0.001137262,0.00012656,2.77E-05,0.00000843
107.1771772,0.2,0.992753681,0.007006346,0.065670256,0.001,0.004963768,7.72E-07,-1.59E-05,4.96E-03,0.001,0.004963769,0.001,0.004963769,0.001,20.29824177,4.49E+01,2.33E+01,2.28E+00,6.36E-01,0.065056928,0.022520823,0.002451184,0.001109108,0.000123004,2.7E-05,0.00000821
107.3433433,0.2,0.99451726,0.006783754,0.063658202,0.001,0.004972586,7.54E-07,-1.45E-05,4.97E-03,0.001,0.004972586,0.001,0.004972586,0.001,25.45705327,4.63E+01,2.25E+01,2.19E+00,6.16E-01,0.062869363,0.021862092,0.002375563,0.001081345,0.00011955,2.66E-05,0.00000801
107.5095095,0.2,0.996278887,0.006568421,0.061711771,0.001,0.004981394,7.37E-07,-1.29E-05,4.98E-03,0.001,0.004981395,0.001,0.004981395,0.001,31.58573691,4.73E+01,2.17E+01,2.12E+00,5.96E-01,0.060757081,0.021224592,0.00230234,0.001053952,0.000116197,2.63E-05,0.0000078
107.6756757,0.2,0.998038545,0.006360105,0.059829425,0.001,0.004990193,7.21E-07,-1.13E-05,4.99E-03,0.001,0.004990193,0.001,0.004990193,0.001,38.73550523,4.8E+01,2.1E+01,2.04E+00,5.76E-01,0.058717435,0.020607892,0.002231436,0.001026906,0.000112941,2.63E-05,0.00000761
107.8418418,0.2,0.999796218,0.006158574,0.05800976,0.001,0.004998981,7.05E-07,-9.67E-06,5E-03,0.001,0.004998981,0.001,0.004998981,0.001,46.91879702,4.85E+01,2.03E+01,1.97E+00,5.58E-01,0.056747874,0.020007667,0.002162775,0.001000191,0.000109779,2.65E-05,0.00000742
108.008008,0.2,1.001551892,0.005963601,0.056251504,0.001,0.005007759,6.89E-07,-7.95E-06,5.01E-03,0.001,0.00500776,0.001,0.00500776,0.001,56.10384032,4.87E+01,1.96E+01,1.9E+00,5.4E-01,0.054845936,0.019421533,0.002096289,0.000973792,0.000106709,2.69E-05,0.00000723
108.1741742,0.2,1.00330555,0.005774973,0.054550202,0.001,0.005016528,6.74E-07,-6.18E-06,5.02E-03,0.001,0.005016528,0.001,0.005016528,0.001,66.21104112,4.87E+01,1.89E+01,1.83E+00,5.22E-01,0.053009251,0.018852513,0.00203191,0.000947696,0.000103728,2.64E-05,0.00000705
108.3403403,0.2,1.005057175,0.005592478,0.052892448,0.001,0.005025286,6.59E-07,-5.11E-06,5.03E-03,0.001,0.005025286,0.001,0.005025286,0.001,77.11857076,4.85E+01,1.82E+01,1.76E+00,5.05E-01,0.051235531,0.018300045,0.001969565,0.000921895,0.000100833,2.58E-05,0.00000687
